sym,tf,dir,ts,entry,sl,tp,ob,ob_real,rA,rB,fillB,avgFillB,resolvedA,resolvedB
SOLUSDT,1h,BUY,2026-02-11 07:00:00,81.0,79.37094404690413,83.71509325515979,80.45698134896804,False,-1.0,-0.8333333333333334,1.0,80.72849067448402,True,True
SOLUSDT,1h,BUY,2026-02-11 11:00:00,81.26,79.7862733736888,83.71621104385201,80.7687577912296,False,-1.0,-0.8333333333333349,1.0,81.0143788956148,True,True
SOLUSDT,1h,BUY,2026-02-11 18:00:00,79.81,77.82424209174907,83.11959651375156,79.1480806972497,False,-1.0,-0.8333333333333344,1.0,79.47904034862484,True,True
SOLUSDT,1h,BUY,2026-02-12 21:00:00,77.34,75.63361254011905,80.18397909980159,76.77120418003969,False,1.6666666666666612,1.1666666666666625,0.6666666666666666,77.19780104500992,True,True
SOLUSDT,1h,SELL,2026-02-13 23:00:00,84.33,85.92818739288525,81.66635434519125,84.86272913096175,False,-1.0,-0.8333333333333304,1.0,84.59636456548087,True,True
SOLUSDT,1h,SELL,2026-02-14 02:00:00,84.89,86.33653888563006,82.47910185728323,85.37217962854335,False,-1.0,-0.8333333333333349,1.0,85.13108981427168,True,True
SOLUSDT,1h,SELL,2026-02-14 04:00:00,84.83,86.15716873301776,82.61805211163707,85.27238957767258,False,-1.0,-0.8333333333333351,1.0,85.05119478883628,True,True
SOLUSDT,1h,SELL,2026-02-14 10:00:00,85.83,86.99815509947076,83.88307483421538,86.21938503315693,False,-1.0,-0.8333333333333334,1.0,86.02469251657845,True,True
SOLUSDT,1h,SELL,2026-02-14 12:00:00,86.42,87.69103679495184,84.30160534174695,86.84367893165062,False,-1.0,-0.8333333333333333,1.0,86.63183946582531,True,True
SOLUSDT,1h,SELL,2026-02-14 23:00:00,88.06,89.35220907980155,85.90631820033076,88.49073635993385,False,-1.0,-0.8333333333333333,1.0,88.27536817996693,True,True
