sym,tf,dir,entry,sl,tp,rA,rB,has_idm,swept_entered,bh_a,bh_b,res_a,res_b
BTCUSDT,1h,BUY,67032.72,66014.98550811064,68728.94415314894,1.6666666666666667,1.6666666666666667,True,True,82,81,True,True
BTCUSDT,1h,BUY,67053.03,66113.47081169688,68618.96198050518,1.394277476924905,1.6666666666666667,True,True,120,121,False,True
BTCUSDT,1h,SELL,68938.91,69901.17071102114,67335.14214829811,0.10958445301248632,-0.0,True,True,120,120,False,False
BTCUSDT,1h,SELL,69640.2,70346.06406917286,68463.7598847119,-0.12566689198176717,-0.0,True,True,120,120,False,False
BTCUSDT,1h,SELL,70446.52,71207.66469905815,69177.94550156976,-0.08644899379172294,-0.0,True,True,120,120,False,False
BTCUSDT,1h,SELL,67948.99,68558.00477332663,66933.96537778898,-0.07359570928999516,-0.0,True,True,120,120,False,False
BTCUSDT,1h,BUY,65757.32,65037.897285503896,66956.35785749352,-1.0,-1.0,True,True,97,94,True,True
BTCUSDT,1h,BUY,64473.14,63595.04999640405,65936.62333932659,-1.0,-1.0,True,True,83,57,True,True
BTCUSDT,1h,BUY,63392.15,62493.41400974502,64890.04331709164,1.2167726815588755,1.183560332113676,True,True,120,120,False,False
BTCUSDT,1h,BUY,63284.5,62432.00126350463,64705.33122749228,1.666666666666661,1.6666666666666694,True,True,95,96,True,True
BTCUSDT,1h,BUY,63453.99,62589.86564262171,64894.19726229714,1.6666666666666639,1.6014102888433932,True,True,90,120,True,False
BTCUSDT,1h,SELL,65884.83,66827.75179024914,64313.29368291812,-0.09557690155352183,-0.0,True,True,120,120,False,False
BTCUSDT,1h,SELL,68432.13,69559.06826763685,66553.89955393861,0.11877266497998584,-0.0,True,True,120,120,False,False
BTCUSDT,1h,BUY,63826.0,62868.15758849953,65422.40401916744,1.666666666666664,1.666666666666664,True,True,41,40,True,True
BTCUSDT,1h,BUY,63658.54,62718.46465538991,65225.332241016826,1.6666666666666692,1.5899971332216918,True,True,108,120,True,False
BTCUSDT,1h,SELL,69198.0,70543.84441023249,66954.92598294586,0.05729766553879499,-0.0,True,True,120,120,False,False
BTCUSDT,1h,SELL,72705.86,73970.33405030037,70598.40324949939,-0.05633113032370764,-0.0,True,True,120,120,False,False
BTCUSDT,1h,BUY,68290.45,67461.70588115216,69671.69019807974,-1.0,-0.8694534162928326,True,True,76,120,True,False
BTCUSDT,1h,BUY,67842.67,67142.01537060352,69010.42771566079,-1.0,-0.8582019454747416,True,True,78,120,True,False
BTCUSDT,1h,BUY,68000.0,67327.54975832651,69120.75040278916,-0.38339327509815385,-0.5176240287088422,True,True,120,120,False,False
BTCUSDT,1h,BUY,67402.98,66831.89224084491,68354.79293192513,-1.0,-0.8563996575258883,True,True,59,120,True,False
BTCUSDT,1h,BUY,67000.26,66467.50680632645,67888.18198945592,1.666666666666685,1.6053982565602443,True,True,106,120,True,False
BTCUSDT,1h,BUY,67149.93,66567.79663402637,68120.1522766227,1.6666666666666583,1.6666666666666583,True,True,112,110,True,True
BTCUSDT,1h,SELL,72228.82,73064.07157342994,70836.73404428344,-0.024646411811208656,-0.0,True,True,120,120,False,False
BTCUSDT,1h,SELL,72382.72,73370.92157318717,70735.71737802139,0.07893964912764334,-0.0,True,True,120,120,False,False
BTCUSDT,1h,SELL,72531.26,73219.91804203522,71383.49659660795,-0.09138005833949019,-0.0,True,True,120,120,False,False
