sym,tf,dir,entry,sl,tp,rA,rB,has_ob,filled_ob,bh_a,bh_b,res_a,res_b
BTCUSDT,1h,BUY,67032.72,66014.98550811064,68728.94415314894,1.6666666666666667,1.6666666666666667,True,True,81,81,True,True
BTCUSDT,1h,BUY,67053.03,66113.47081169688,68618.96198050518,1.5968888579420686,1.6666666666666512,True,True,120,121,False,True
BTCUSDT,1h,SELL,68938.91,69901.17071102114,67335.14214829811,0.10902675963231799,0.10902675963231799,True,True,120,120,False,False
BTCUSDT,1h,SELL,69640.2,70346.06406917286,68463.7598847119,-0.12622458536194425,-0.12622458536192624,True,True,120,120,False,False
BTCUSDT,1h,SELL,70446.52,71207.66469905815,69177.94550156976,-0.08551950482476041,-0.0855195048247779,True,True,120,120,False,False
BTCUSDT,1h,SELL,67948.99,68558.00477332663,66933.96537778898,-0.07266622032301594,-0.07266622032301594,True,True,120,120,False,False
BTCUSDT,1h,BUY,65757.32,65037.897285503896,66956.35785749352,-1.0,-1.0,True,True,96,96,True,True
BTCUSDT,1h,BUY,64473.14,63595.04999640405,65936.62333932659,-1.0,-1.0,True,True,59,59,True,True
BTCUSDT,1h,BUY,63392.15,62493.41400974502,64890.04331709164,1.6666666666666694,1.666666666666691,True,True,35,35,True,True
BTCUSDT,1h,BUY,63284.5,62432.00126350463,64705.33122749228,1.666666666666661,1.666666666666661,True,True,94,94,True,True
BTCUSDT,1h,BUY,63453.99,62589.86564262171,64894.19726229714,1.6666666666666639,1.6666666666666414,True,True,88,88,True,True
BTCUSDT,1h,SELL,65884.83,66827.75179024914,64313.29368291812,-0.09613459493371065,-0.09613459493371065,True,True,120,120,False,False
BTCUSDT,1h,SELL,68432.13,69559.06826763685,66553.89955393861,0.1197021539469491,0.1197021539469491,True,True,120,120,False,False
BTCUSDT,1h,BUY,63826.0,62868.15758849953,65422.40401916744,1.666666666666664,1.666666666666664,True,True,40,40,True,True
BTCUSDT,1h,BUY,63658.54,62718.46465538991,65225.332241016826,1.6666666666666692,1.6666666666666692,True,True,80,80,True,True
BTCUSDT,1h,SELL,69198.0,70543.84441023249,66954.92598294586,0.05822715450575508,0.05822715450575508,True,True,120,120,False,False
BTCUSDT,1h,SELL,72705.86,73970.33405030037,70598.40324949939,-0.05540164135674332,-0.05540164135674332,True,True,120,120,False,False
BTCUSDT,1h,BUY,68290.45,67461.70588115216,69671.69019807974,-1.0,-1.0,True,True,74,74,True,True
BTCUSDT,1h,BUY,67842.67,67142.01537060352,69010.42771566079,-1.0,-1.0,True,True,77,77,True,True
BTCUSDT,1h,BUY,68000.0,67327.54975832651,69120.75040278916,-0.6474080099748181,-0.7327037438268091,True,True,120,120,False,False
BTCUSDT,1h,BUY,67402.98,66831.89224084491,68354.79293192513,-1.0,-1.0,True,True,58,58,True,True
BTCUSDT,1h,BUY,67000.26,66467.50680632645,67888.18198945592,1.666666666666685,1.6666666666666121,True,True,105,105,True,True
