sym,tf,dir,ts,entry,sl,tp,ob,ob_real,rA,rB,fillB,avgFillB,resolvedA,resolvedB
BTCUSDT,1h,BUY,2026-02-11 07:00:00,67032.72,66014.98550811064,68728.94415314894,66693.47516937021,False,1.6666666666666667,1.833333333333333,1.0,66863.0975846851,True,True
BTCUSDT,1h,BUY,2026-02-11 11:00:00,67053.03,66113.47081169688,68618.96198050518,66739.84360389896,False,1.6666666666666512,1.833333333333315,1.0,66896.43680194949,True,True
BTCUSDT,1h,SELL,2026-02-13 19:00:00,68938.91,69901.17071102114,67335.14214829811,69259.66357034039,False,-1.0,-0.8333333333333283,1.0,69099.2867851702,True,True
BTCUSDT,1h,SELL,2026-02-14 12:00:00,69640.2,70346.06406917286,68463.7598847119,69875.48802305762,False,-1.0,-0.8333333333333298,1.0,69757.8440115288,True,True
BTCUSDT,1h,SELL,2026-02-15 08:00:00,70446.52,71207.66469905815,69177.94550156976,70518.57,True,1.6666666666666667,1.713996694773782,1.0,70482.54500000001,True,True
BTCUSDT,1h,SELL,2026-02-20 10:00:00,67948.99,68558.00477332663,66933.96537778898,68151.99492444222,False,1.6666666666666587,0.5555555555555529,0.3333333333333333,67948.99,True,True
BTCUSDT,1h,BUY,2026-02-23 06:00:00,65757.32,65037.897285503896,66956.35785749352,65517.5124285013,False,-1.0,-0.8333333333333316,1.0,65637.41621425065,True,True
BTCUSDT,1h,BUY,2026-02-23 20:00:00,64473.14,63595.04999640405,65936.62333932659,64180.44333213468,False,-1.0,-0.8333333333333305,1.0,64326.791666067336,True,True
BTCUSDT,1h,BUY,2026-02-24 08:00:00,63392.15,62493.41400974502,64890.04331709164,63092.57133658168,False,1.6666666666666694,1.833333333333333,1.0,63242.36066829084,True,True
BTCUSDT,1h,BUY,2026-02-24 10:00:00,63284.5,62432.00126350463,64705.33122749228,63000.333754501546,False,1.666666666666661,1.8333333333333277,1.0,63142.41687725077,True,True
BTCUSDT,1h,BUY,2026-02-24 14:00:00,63453.99,62589.86564262171,64894.19726229714,63165.94854754057,False,1.666666666666664,1.166666666666664,0.6666666666666666,63381.97963688513,True,True
BTCUSDT,1h,SELL,2026-02-25 02:00:00,65884.83,66827.75179024914,64313.29368291812,66199.13726341639,False,-1.0,-0.8333333333333308,1.0,66041.9836317082,True,True
BTCUSDT,1h,SELL,2026-02-25 22:00:00,68432.13,69559.06826763685,66553.89955393861,68807.77608921229,False,1.6666666666666623,1.8333333333333288,1.0,68619.95304460614,True,True
BTCUSDT,1h,BUY,2026-02-28 07:00:00,63826.0,62868.15758849953,65422.40401916744,63506.71919616651,False,1.666666666666664,1.833333333333332,1.0,63666.35959808325,True,True
BTCUSDT,1h,BUY,2026-02-28 09:00:00,63658.54,62718.46465538991,65225.332241016826,63345.18155179664,False,1.6666666666666692,1.166666666666668,0.6666666666666666,63580.20038794916,True,True
BTCUSDT,1h,SELL,2026-03-02 17:00:00,69198.0,70543.84441023249,66954.92598294586,69646.61480341083,False,1.666666666666663,1.1666666666666647,0.6666666666666666,69310.15370085271,True,True
BTCUSDT,1h,SELL,2026-03-04 22:00:00,72705.86,73970.33405030037,70598.40324949939,73419.465,True,1.6666666666666627,1.9488412988113424,1.0,73062.6625,True,True
BTCUSDT,1h,BUY,2026-03-07 00:00:00,68290.45,67461.70588115216,69671.69019807974,68014.20196038405,False,-1.0,-0.8333333333333303,1.0,68152.32598019202,True,True
BTCUSDT,1h,BUY,2026-03-07 07:00:00,67842.67,67142.01537060352,69010.42771566079,67609.11845686784,False,-1.0,-0.8333333333333401,1.0,67725.89422843393,True,True
BTCUSDT,1h,BUY,2026-03-07 09:00:00,68000.0,67327.54975832651,69120.75040278916,67775.84991944217,False,-1.0,-0.8333333333333369,1.0,67887.92495972109,True,True
BTCUSDT,1h,BUY,2026-03-07 20:00:00,67402.98,66831.89224084491,68354.79293192513,67212.61741361496,False,-1.0,-0.8333333333333333,1.0,67307.79870680747,True,True
BTCUSDT,1h,BUY,2026-03-08 03:00:00,67000.26,66467.50680632645,67888.18198945592,66822.67560210881,False,1.666666666666685,1.833333333333356,1.0,66911.4678010544,True,True
BTCUSDT,1h,BUY,2026-03-08 05:00:00,67149.93,66567.79663402637,68120.1522766227,66955.88554467545,False,1.6666666666666583,1.166666666666658,0.6666666666666666,67101.41888616886,True,True
BTCUSDT,1h,SELL,2026-03-13 11:00:00,72228.82,73064.07157342994,70836.73404428344,72507.23719114331,False,-1.0,-0.8333333333333333,1.0,72368.02859557167,True,True
BTCUSDT,1h,SELL,2026-03-13 14:00:00,72382.72,73370.92157318717,70735.71737802139,72712.12052439572,False,1.6666666666666667,1.833333333333333,1.0,72547.42026219786,True,True
BTCUSDT,1h,SELL,2026-03-16 00:00:00,72531.26,73219.91804203522,71383.49659660795,72760.8126806784,False,-1.0,-0.8333333333333368,1.0,72646.0363403392,True,True
BTCUSDT,1h,SELL,2026-03-16 06:00:00,73714.36,74598.57405578817,72240.66990701972,74009.09801859605,False,-1.0,-0.8333333333333361,1.0,73861.72900929803,True,True
BTCUSDT,1h,SELL,2026-03-17 02:00:00,75198.02,76172.50797899811,73573.87336833648,75522.84932633271,False,1.6666666666666767,0.5555555555555588,0.3333333333333333,75198.02,True,True
BTCUSDT,1h,BUY,2026-03-18 17:00:00,71595.21,70723.2511958469,73048.47467358853,71304.55706528231,False,-1.0,-0.8333333333333388,1.0,71449.88353264115,True,True
BTCUSDT,1h,BUY,2026-03-18 21:00:00,71263.67,70360.72459299726,72768.57901167123,70962.68819766575,False,-1.0,-0.8333333333333306,1.0,71113.17909883286,True,True
BTCUSDT,1h,BUY,2026-03-18 23:00:00,71246.54,70404.01625620681,72650.74623965529,70965.69875206893,False,-1.0,-0.8333333333333304,1.0,71106.11937603446,True,True
BTCUSDT,1h,BUY,2026-03-19 01:00:00,71115.23,70329.73478213752,72424.38869643747,70853.3982607125,False,-1.0,-0.8333333333333333,1.0,70984.31413035624,True,True
BTCUSDT,1h,BUY,2026-03-19 09:00:00,70513.0,69709.48414427256,71852.19309287907,70245.16138142419,False,-1.0,-0.8333333333333303,1.0,70379.08069071209,True,True
BTCUSDT,1h,BUY,2026-03-19 13:00:00,69905.65,69047.98237126636,71335.09604788938,69619.76079042212,False,-1.0,-0.8333333333333361,1.0,69762.70539521106,True,True
BTCUSDT,1h,BUY,2026-03-22 02:00:00,69278.12,68655.35235469516,70316.06607550805,69070.53078489838,False,-1.0,-0.8333333333333295,1.0,69174.32539244919,True,True
BTCUSDT,1h,BUY,2026-03-22 12:00:00,68654.83,68054.89719284073,69654.71801193213,68454.85239761358,False,-1.0,-0.8333333333333374,1.0,68554.84119880678,True,True
BTCUSDT,1h,BUY,2026-03-22 22:00:00,68339.37,67674.26205468058,69447.88324219901,68117.66735156019,False,-1.0,-0.8333333333333333,1.0,68228.5186757801,True,True
BTCUSDT,1h,BUY,2026-03-23 01:00:00,67905.0,67176.07992679783,69119.86678867028,67662.02664226595,False,1.6666666666666534,1.833333333333313,1.0,67783.51332113297,True,True
BTCUSDT,1h,SELL,2026-03-23 15:00:00,70131.48,71360.84673189609,68082.53544683984,70541.26891063203,False,-1.0,-0.8333333333333294,1.0,70336.37445531602,True,True
BTCUSDT,1h,BUY,2026-03-26 12:00:00,69436.42,68777.94335706625,70533.88107155623,69216.92778568875,False,-1.0,-0.8333333333333369,1.0,69326.67389284438,True,True
BTCUSDT,1h,BUY,2026-03-26 20:00:00,69005.21,68217.38921052834,70318.24464911944,68742.60307017612,False,-1.0,-0.8333333333333303,1.0,68873.90653508806,True,True
BTCUSDT,1h,BUY,2026-03-27 23:00:00,66407.28,65687.25655956744,67607.3190673876,66167.27218652247,False,-1.0,-0.8333333333333265,1.0,66287.27609326123,True,True
BTCUSDT,1h,SELL,2026-04-06 06:00:00,68976.67,69516.11652178103,68077.59246369828,69156.48550726034,False,-1.0,-0.8333333333333333,1.0,69066.57775363018,True,True
BTCUSDT,1h,SELL,2026-04-06 12:00:00,69366.75,69930.29456903737,68427.50905160439,69554.59818967912,False,-1.0,-0.8333333333333376,1.0,69460.67409483955,True,True
BTCUSDT,1h,SELL,2026-04-06 16:00:00,69799.14,70410.23450935226,68780.64915107956,70002.83816978408,False,1.6666666666666743,1.1666666666666663,0.6666666666666666,69850.06454244602,True,True
BTCUSDT,1h,SELL,2026-04-08 02:00:00,71364.94,72294.46728145969,69815.72786423386,71674.78242715323,False,-1.0,-0.8333333333333333,1.0,71519.86121357662,True,True
BTCUSDT,1h,SELL,2026-04-08 07:00:00,71627.59,72415.03841808846,70315.17596985254,71890.0728060295,False,-1.0,-0.833333333333327,1.0,71758.83140301474,True,True
BTCUSDT,1h,SELL,2026-04-08 09:00:00,71678.87,72417.32963090281,70448.1039484953,71925.02321030093,False,-1.0,-0.83333333333333,1.0,71801.94660515046,True,True
BTCUSDT,1h,SELL,2026-04-11 20:00:00,73290.43,73782.25384329315,72470.72359451141,73454.37128109772,False,1.6666666666666567,1.8333333333333235,1.0,73372.40064054885,True,True
BTCUSDT,1h,BUY,2026-04-12 16:00:00,70936.27,70445.64255143797,71753.98241427005,70772.72751714599,False,1.666666666666637,1.8333333333333035,1.0,70854.498758573,True,True
BTCUSDT,1h,SELL,2026-04-13 15:00:00,71866.59,72518.84742328487,70779.49429452521,72084.00914109495,False,-1.0,-0.8333333333333334,1.0,71975.29957054748,True,True
