key,title,grade,body_chars
signal-buy,BUY Signal,PASS,234
signal-sell,SELL Signal,PASS,205
signal-hold,HOLD — No Trade,FAIL,259
confidence-ring,Indicator Agreement,FAIL,304
confidence-confirmed,CONFIRMED — Highest Reliability,FAIL,188
confidence-likely,LIKELY — Good Signal,FAIL,189
confidence-hypothesis,HYPOTHESIS — Weaker Signal,PASS,218
quality-score,Quality Score,WEAK,543
win-rate,Backtest Win Rate — Historical Performance,PASS,583
trade-type-scalp,Scalp Trade,WEAK,245
trade-type-day,Day Trade,WEAK,171
trade-type-swing,Swing Trade,FAIL,183
trade-type-position,Position Trade,WEAK,226
entry-price,Entry Price,FAIL,297
stop-loss,Stop Loss,PASS,353
tp1,TP1 — First Take Profit,PASS,302
tp2,TP2 — Second Take Profit,PASS,258
tp3,TP3 — Best Case Target,WEAK,240
rr-ratio,Risk:Reward Ratio,WEAK,225
bull-pct,Bull % — Upward Pressure,FAIL,137
bear-pct,Bear % — Downward Pressure,FAIL,140
atr-value,ATR — Average True Range,PASS,279
rsi-value,RSI — Momentum Gauge,FAIL,247
ind-trend-direction,Trend Direction (EMAs),FAIL,212
ind-momentum-gauge,Momentum Gauge (RSI),FAIL,239
ind-price-momentum,Price Momentum (MACD),FAIL,195
ind-market-activity,Market Activity (Volume),FAIL,220
ind-price-range,Price Range Position (Bollinger Bands),FAIL,237
ind-price-swing,Price Swing Size (ATR Volatility),WEAK,236
ind-htf-trend,Big-Picture Trend (Daily Chart),WEAK,206
ind-signal-agreement,Signal Agreement (Confluence Score),FAIL,224
order-flow-cvd,CVD Trend — Cumulative Volume Delta,FAIL,267
order-flow-buy-pressure,Buy Pressure %,FAIL,204
order-flow-sell-pressure,Sell Pressure %,FAIL,213
order-flow-real-buyer,Real Buyer,FAIL,231
order-flow-poser-buyer,Poser Buyer,FAIL,198
order-flow-real-seller,Real Seller,FAIL,187
order-flow-poser-seller,Poser Seller,FAIL,186
candle-footprint,Candle Footprint — Delta Buy−Sell,FAIL,321
mtf-row,Multi-Timeframe Alignment,FAIL,268
mtf-alignment,Multi-Timeframe Alignment,FAIL,282
signal-reasoning,Signal Reasoning,FAIL,266
rsi-gauge,RSI Gauge,FAIL,264
macro-context,Market Fear Level (VIX),FAIL,408
macro-full,Markets Calm — Good to Trade,FAIL,194
macro-reduced,Markets Nervous — Extra Caution,FAIL,233
macro-notrade,Markets in Panic — Signals Off,FAIL,235
regime-warning,Market Regime Warning,WEAK,494
session-offhours,Off-Hours Warning,WEAK,477
smc-title,What is Smart Money?,FAIL,415
smc-fvg-bullish,Bullish Fair Value Gap,PASS,376
smc-fvg-bearish,Bearish Fair Value Gap,PASS,377
