sym,tf,dir,entry,sl,tp,rA,rB,mae_a,mae_b,at_risk,used_trap,bh_a,bh_b,res_a,res_b
BTCUSDT,1h,BUY,67032.72,66014.98550811064,68728.94415314894,1.6666666666666667,1.6024506903494216,0.49094,0.57562,True,True,87,120,True,False
BTCUSDT,1h,BUY,67053.03,66113.47081169688,68618.96198050518,1.038488331432419,1.3085219832182244,0.26183,0.28855,True,True,120,120,False,False
BTCUSDT,1h,SELL,68938.91,69901.17071102114,67335.14214829811,0.11006728822083751,-0.13127710628931963,0.12532,0.16461,True,True,120,120,False,False
BTCUSDT,1h,SELL,69640.2,70346.06406917286,68463.7598847119,-0.1251840567734331,-0.15389892990688922,0.15852,0.18723,True,True,120,120,False,False
BTCUSDT,1h,SELL,70446.52,71207.66469905815,69177.94550156976,-0.08725371913897294,-0.10532371408950857,0.12059,0.13866,True,True,120,120,False,False
BTCUSDT,1h,SELL,67948.99,68558.00477332663,66933.96537778898,-0.0744004346372211,-0.08457602131530816,0.12316,0.11791,True,True,120,120,False,False
BTCUSDT,1h,BUY,65757.32,65037.897285503896,66956.35785749352,-1.0,-1.0,1.00667,1.02481,True,True,99,99,True,True
BTCUSDT,1h,BUY,64473.14,63595.04999640405,65936.62333932659,-1.0,-1.0,1.10681,1.34071,True,True,86,57,True,True
BTCUSDT,1h,BUY,63392.15,62493.41400974502,64890.04331709164,1.2981482013475292,1.0161755814750901,0.12389,0.12847,True,True,120,120,False,False
BTCUSDT,1h,BUY,63284.5,62432.00126350463,64705.33122749228,1.666666666666661,1.6269389349291838,0.30517,0.33718,True,True,108,120,True,False
BTCUSDT,1h,BUY,63453.99,62589.86564262171,64894.19726229714,1.6666666666666639,1.3417463093429167,0.33085,0.57347,True,True,92,120,True,False
BTCUSDT,1h,SELL,65884.83,66827.75179024914,64313.29368291812,-0.0950940663451756,-0.12106919809515446,0.16056,0.1544,True,True,120,120,False,False
BTCUSDT,1h,SELL,68432.13,69559.06826763685,66553.89955393861,0.11796793963274461,-0.13888219937868837,0.10982,0.17222,True,True,120,120,False,False
BTCUSDT,1h,BUY,63826.0,62868.15758849953,65422.40401916744,1.666666666666664,1.666666666666664,0.23724,0.24913,True,True,43,44,True,True
BTCUSDT,1h,BUY,63658.54,62718.46465538991,65225.332241016826,1.6666666666666692,1.3419603691272912,0.12638,0.35045,True,True,113,120,True,False
BTCUSDT,1h,SELL,69198.0,70543.84441023249,66954.92598294586,0.05649294019154781,-0.20213699369400542,0.10804,0.23547,True,True,120,120,False,False
BTCUSDT,1h,SELL,72705.86,73970.33405030037,70598.40324949939,-0.0571358556709459,-0.08579941136147458,0.10467,0.11913,True,True,120,120,False,False
BTCUSDT,1h,BUY,68290.45,67461.70588115216,69671.69019807974,-1.0,-1.0,1.09386,1.12429,True,True,79,76,True,True
BTCUSDT,1h,BUY,67842.67,67142.01537060352,69010.42771566079,-1.0,-1.0,1.0075,1.00604,True,True,82,82,True,True
